ID,Name,Filename_TZVP,Extension_TZVP,DBIDRef_TZVP,Conformers_TZVP,Extension_TZVP-Fine,DBIDRef_TZVP-Fine,Conformers_TZVP-Fine,CAS,MP,BP,Density,Mol. Wt.,rhoc,c1,c2,c3,c4,c5,c6,Tc
204,Cyclohexylamine,cyclohexylamine,cosmo,1,3,cosmo,4,3,108-91-8,-17.7,134.5,0.862,99.174,NA,NA,NA,NA,NA,NA,NA,NA
205,Diisopropylamine,diisopropylamine,cosmo,1,2,cosmo,4,2,108-18-9,-96.3,83.9,0.71,101.19,NA,NA,NA,NA,NA,NA,NA,NA
206,1-Nitropropane,1-nitropropane,cosmo,1,2,cosmo,4,2,108-03-2,-104,131.2,1,89.093,NA,NA,NA,NA,NA,NA,NA,NA
207,Butyric acid,butyricacid,cosmo,1,2,cosmo,4,2,107-92-6,-5.2,163.3,0.95,88.105,NA,NA,NA,NA,NA,NA,NA,NA
208,n-Propylamine,n-propylamine,cosmo,1,1,cosmo,4,1,107-10-8,-83,48.5,0.71,59.11,NA,NA,NA,NA,NA,NA,NA,NA
209,Ethyl propionate,ethylpropionate,cosmo,1,3,cosmo,4,3,105-37-3,-73.9,99,0.88,102.132,NA,NA,NA,NA,NA,NA,NA,NA
210,Ethyl butyrate,ethylbutyrate,cosmo,1,2,cosmo,4,2,105-54-4,-98,120.9,0.87,116.158,NA,NA,NA,NA,NA,NA,NA,NA
211,Butylbenzene,Butylbenzene,cosmo,2,2,cosmo,5,2,104-51-8,-87.9,183.3,0.86,134.218,NA,NA,NA,NA,NA,NA,NA,NA
212,N-Methylaniline,n-methylaniline,cosmo,1,1,cosmo,4,1,100-61-8,-57,195.9,0.982,107.153,NA,NA,NA,NA,NA,NA,NA,NA
213,N-Ethylaniline,n-ethylaniline,cosmo,1,3,cosmo,4,3,103-69-5,-63.5,204.9,0.96,121.18,NA,NA,NA,NA,NA,NA,NA,NA
214,Benzylamine,benzylamine,cosmo,1,3,cosmo,4,3,100-46-9,-46,184.5,0.98,107.153,NA,NA,NA,NA,NA,NA,NA,NA
215,Ethylbenzene,ethylbenzene,cosmo,1,1,cosmo,4,1,100-41-4,-95,136.2,0.863,106.165,NA,NA,NA,NA,NA,NA,NA,NA
216,Isopropylbenzene,isopropylbenzene,cosmo,1,1,cosmo,4,1,98-82-8,-96,152.4,0.857,120.192,NA,NA,NA,NA,NA,NA,NA,NA
217,Furfural,furfural,cosmo,1,2,cosmo,4,2,98-01-1,-36.5,161.7,1.15,96.084,NA,NA,NA,NA,NA,NA,NA,NA
218,Methylcyclopentane,methylcyclopentane,cosmo,1,1,cosmo,4,1,96-37-7,-142.4,71.9,0.74,84.16,NA,NA,NA,NA,NA,NA,NA,NA
219,Methyl benzoate,methylbenzoate,cosmo,1,1,cosmo,4,1,93-58-3,-12.4,199.1,1.084,136.148,NA,NA,NA,NA,NA,NA,NA,NA
220,2-Nitropropane,2-nitropropane,cosmo,1,1,cosmo,4,1,79-46-9,-103.4,131.2,0.983,89.093,NA,NA,NA,NA,NA,NA,NA,NA
221,"1,1,2,2-Tetrachloroethane","1,1,2,2-tetrachloroethane",cosmo,1,1,cosmo,4,1,79-34-5,-42.5,146.3,1.587,167.849,NA,NA,NA,NA,NA,NA,NA,NA
222,Isobutyric acid,isobutyricacid,cosmo,1,4,cosmo,4,4,79-31-2,-46,154.7,0.94,88.105,NA,NA,NA,NA,NA,NA,NA,NA
